toi,tid,tfopwg_disp,pl_tranmid,pl_tranmiderrtot,pl_orbper,pl_orbpererrtot,pl_trandurh,pl_trandurherrtot,pl_trandep,pl_trandeperrtot,pl_rade,pl_radeerrtot,pl_insol,pl_insolerrtot,pl_eqt,pl_eqterrtot,st_tmag,st_tmagerrtot,st_dist,st_disterrtot,st_teff,st_tefferrtot,st_logg,st_loggerrtot,st_rad,st_raderrtot
1074.01,327301957,PC,2458662.653,0.006376,13.9428705,0.000117,3.7522756,1.203829,1015.395543,175.86158,2.4233421,2.3515446,28.0927293,0,587.1759148,0,10.6339,0.012,107.356,0.816,5206,366,4.63095,0.561158,0.741671,0.0959448
1075.01,351601843,CP,2458654.25,0.001108,0.6047392,0.0000112,1.0403847,0.4429078,1027.683348,128.92202,1.8625587,2.9852664,528.0253155,0,1222.59731,0,11.1186,0.014,61.4592,0.1887,4046,340,4.60963,0.461356,0.580337,0.0345512
1076.01,360742636,KP,2458654.163,0.000238,2.5495611,0.0000014,2.6173308,0.0386672,14921.40219,163.920868,12.9171288,1.302055,757.1284067,0,1337.864515,0,11.2474,0.012,248.46,4.291,5659,0,4.44653,0,1.03997,0.1038794
1077.01,369960846,PC,2458654.103,0.000412,1.6062693,0.000002,1.9561305,0.0893632,16725.30193,432.28802,12.6436029,0.6479582,844.2700581,0,1374.801814,0,13.461,0.012,463.683,6.645,5192,364,4.4617,4.00736,0.984326,0
1078.01,370133522,CP,2458654.103,0.000724,0.5182425,0.0000084,0.8565249,0.1507002,831.8920424,81.53696,1.3485121,0.1800286,255.1405815,0,1019.329598,0,10.1165,0.014,20.373,0.0384,3325,204,4.88693,0.197882,0.390989,0.0234804
1079.01,379240073,PC,2458656.38,0.00398,3.1644075,0.0000244,2.0576293,0.4396238,5603.463547,1184.0162,14.8814743,2.2530074,2206.155048,0,1747.949001,0,13.1284,0.012,1179.27,91.82,6519,388,4.22068,0,1.7234,0
108.01,289793076,KP,2458328.084,0.000878,3.0440541,0.0000086,2.5984575,0.1223308,22236.01654,981.02186,12.1086799,0.5359832,315.9871326,0,1075.318454,0,13.163,0.02,421.855,16.678,5523,0,4.52192,0,0.809868,0
1080.01,161032923,PC,2458654.061,0.002438,3.9652485,0.0000244,1.0112593,1.1480942,3680.754444,916.1363,1.2305102,2.1167696,5.2829448,0,386.6684768,0,12.7067,0.014,25.559,0.1082,3296,128,4.96636,0.815168,0.199988,0.0119624
1081.01,253728991,PC,2458654.026,0.005134,2.98278,0.000884,3.109528,0.221392,6136.231662,631.7973,11.467011,22.950632,,0,,0,11.5247,0.012,354.05,0,6027,384,4.29978,4.0084,1.23975,2.4795
1082.01,261108236,PC,2458626.086,0.006304,16.3469053,0.0001008,3.5865698,0.4485996,2212.425725,214.41828,3.5059571,0.7570184,8.9995944,0,441.7489067,0,11.8835,0.012,100.248,0.5077,4310,346,4.57345,0.461022,0.649613,0.1232262
1083.01,322270620,PC,2458627.916,0.004402,12.9802953,0.0000686,2.5034417,1.7157814,2407.260867,399.57424,2.4241912,3.3520672,4.7341229,0,376.2093904,0,12.0936,0.014,68.9109,0.25,3614,128,4.81257,0.718912,0.491323,0.0293704
1084.01,380589029,KP,2458653.973,0.00026,1.3484961,0.0000012,2.4074261,0.0437454,18463.76367,245.5785,15.8824638,1.7204364,2706.960623,0,1839.671304,0,12.2851,0.012,494.182,24.348,6346,0,4.38484,0,1.14759,0.123226
1085.01,381979901,APC,2460041.175,0.00172,3.2541181,0.0000016,4.341,0.036,13620,0.236092,14.9476,0,1436.45,0,,0,11.6577,0.012,444.066,0,6102,386,4.28649,4.00972,1.28,0
1086.01,468148930,PC,2458655.291,0.001482,3.7178828,0.0000082,5.5277827,0.2240812,4864.840513,159.5463,14.6986197,1.7146366,1925.142617,0,1689.411619,0,12.2303,0.012,736.397,22.12,5818,380,4.33787,4.00706,2.0840001,0.212262
1087.01,426077080,FP,2458630.772,0.0056,9.30992,0.00418,3.464,0.464,2220,2.78912,14.2968,1.55575,215.208,0,1067,0,9.4142,0.012,416.25,10.038,6907,271,3.63,0.18,3.09,0.28
1088.01,343648136,FA,2458626.39,0.00444,1.15395,0.00034,2.236,0.206,1550,3.34438,5.48364,0.649474,3534.3,0,2148,0,10.4613,0.012,240.901,3.96,6093,262,4.2,0.16,1.4,0.14
1089.01,129319156,FP,2458643.103,0.00976,4.73703,0.00906,3.902,0.962,2410,2761.74,25.7144,20.4958,53821,0,4243,0,10.3918,0.02,778.127,70.12,11600,736.4,4.13,0.14,2.48,0.26
109.01,29344935,KP,2458326.127,0.000956,2.76676,0.000005,2.6872178,0.1452708,14947.43878,581.6925,12.2867389,0.6127876,505.8840075,0,1209.574123,0,13.2366,0.014,513.011,18.255,5346,0,4.48823,0,0.984866,0
